framework,algorithm,phase,mode,tier,n,setting_kind,setting,error_type,message
julia,vern7,performance,fixed,fixed,8388608,dt,0.078125,OutOfGPUMemoryError,Out of GPU memory trying to allocate 15.906 GiB Effective GPU memory usage: 50.62% (6.071 GiB/11.994 GiB) Memory pool usage: 3.977 GiB (4.000 GiB reserved) 
julia,vern7,performance,adaptive,julia,8388608,tol,1.0e-8,OutOfGPUMemoryError,Out of GPU memory trying to allocate 15.906 GiB Effective GPU memory usage: 50.62% (6.071 GiB/11.994 GiB) Memory pool usage: 3.977 GiB (4.000 GiB reserved) 
julia,vern7,work_precision,fixed,fixed,131072,dt,5.0,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,2.5,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,1.25,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.3125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.15625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.078125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.0390625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.01953125,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,fixed,fixed,131072,dt,0.009765625,ErrorException,non-finite result: 0/131072 trajectories valid
julia,vern7,work_precision,adaptive,julia,131072,tol,0.010000000000000002,ErrorException,non-finite result: 3/131072 trajectories valid
julia,vern7,work_precision,adaptive,julia,131072,tol,0.001,ErrorException,non-finite result: 3/131072 trajectories valid
julia,rosenbrock23_sciml,performance,adaptive,julia,8,tol,1.0e-8,KernelException,KernelException: exception thrown during kernel execution on device NVIDIA GeForce RTX 4070 SUPER
julia,rosenbrock23_sciml,performance,adaptive,julia,32,tol,1.0e-8,Watchdog,run never returned within 120.0 s
