framework,algorithm,phase,mode,tier,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,numerical,fixed,fixed,1024,dt,0.00390625,1,0.147657,0.147657,0.147657,0.147657,0.147657
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0078125,1,10.871621,10.871621,10.871621,10.871621,10.871621
julia,tsit5,numerical,fixed,fixed,1024,dt,0.015625,1,0.072951,0.072951,0.072951,0.072951,0.072951
julia,tsit5,numerical,fixed,fixed,1024,dt,0.03125,1,0.063219,0.063219,0.063219,0.063219,0.063219
julia,tsit5,numerical,fixed,fixed,1024,dt,0.0625,1,0.067882,0.067882,0.067882,0.067882,0.067882
julia,tsit5,numerical,fixed,fixed,1024,dt,0.125,1,0.085522,0.085522,0.085522,0.085522,0.085522
julia,tsit5,performance,adaptive,julia,128,tol,1.0e-8,20,0.327233,0.32911209999999996,0.3674705,0.37490455,0.375162
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,20,4.391469,4.401539,4.437450999999999,5.992327500000004,10.729759
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,20,0.413597,0.41408435,0.46169899999999997,0.46828965,0.469955
julia,tsit5,performance,adaptive,julia,2097152,tol,1.0e-8,20,63.181331,63.38188645,74.6246595,121.3332946,130.198535
julia,tsit5,performance,adaptive,julia,32,tol,1.0e-8,20,0.302657,0.3028565,0.30399750000000003,0.323639,0.356699
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,20,1.419309,1.42307005,1.4382865,2.086842300000004,7.333755
julia,tsit5,performance,adaptive,julia,33554432,tol,1.0e-8,20,1387.780805,1388.1790240999999,1396.895245,1405.56538385,1407.248268
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,20,0.358538,0.36151435000000004,0.40669299999999997,0.414235,0.428656
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,20,16.159993,16.19927645,18.909689,48.411394000000016,64.085843
julia,tsit5,performance,adaptive,julia,8,tol,1.0e-8,20,0.295045,0.29629425000000004,0.3084835,0.3612179,0.387227
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,20,0.5942,0.61821695,0.699731,0.70760725,0.709569
julia,tsit5,performance,adaptive,julia,8388608,tol,1.0e-8,20,317.355553,317.77135375,350.398446,371.30720395000003,398.471959
julia,tsit5,performance,fixed,fixed,128,dt,0.0009765625,20,0.41827,0.4205785,0.467065,1.4828844,1.542457
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,20,9.827632,9.8416426,9.898334,31.54386530000001,46.293704
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,20,0.437584,0.4390546,0.4785815,0.4901933,0.494189
julia,tsit5,performance,fixed,fixed,2097152,dt,0.0009765625,20,147.865925,148.2092683,163.97025250000002,204.01516435,212.326094
julia,tsit5,performance,fixed,fixed,32,dt,0.0009765625,20,0.418588,0.424573,0.462388,1.5013151500000006,2.046637
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,20,2.583761,2.58898505,2.6168329999999997,3.755260600000011,18.582834
julia,tsit5,performance,fixed,fixed,33554432,dt,0.0009765625,20,2748.943441,2749.523587,2765.3783320000002,2789.5037221000002,2810.323164
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,20,0.422435,0.42563175000000003,0.469164,1.4239127999999999,1.518966
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,20,38.603177,38.723862149999995,42.373772,50.812056450000014,70.631155
julia,tsit5,performance,fixed,fixed,8,dt,0.0009765625,20,0.41643,0.4220958,0.46071850000000003,0.5245578,0.524858
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,20,0.699935,0.70837385,0.743031,0.7627101000000001,0.792181
julia,tsit5,performance,fixed,fixed,8388608,dt,0.0009765625,20,698.370703,698.829211,700.3618240000001,702.7708225,709.237691
julia,tsit5,work_precision,adaptive,julia,32768,tol,0.0001,20,0.431197,0.4390155,0.481082,0.5357459,0.558981
julia,tsit5,work_precision,adaptive,julia,32768,tol,0.001,20,0.722638,0.72408485,0.7303655,0.7498143500000001,0.771785
julia,tsit5,work_precision,adaptive,julia,32768,tol,0.010000000000000002,20,0.374446,0.37557935,0.3855235,0.4557867500000002,0.72182
julia,tsit5,work_precision,adaptive,julia,32768,tol,1.0000000000000001e-7,20,0.721482,0.72693595,0.7702625000000001,0.7832659999999999,0.78984
julia,tsit5,work_precision,adaptive,julia,32768,tol,1.0e-5,20,0.480767,0.4825682,0.4872345,0.5035777499999999,0.515752
julia,tsit5,work_precision,adaptive,julia,32768,tol,1.0e-6,20,0.574294,0.58379115,0.6214660000000001,0.6356608,0.636987
julia,tsit5,work_precision,adaptive,julia,32768,tol,1.0e-8,20,1.421327,1.4234664,1.440442,1.45152735,1.478115
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0001220703125,20,18.006007,18.01094605,18.018963,18.440496900000003,22.370531
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.000244140625,20,9.177792,9.1781682,9.195637000000001,9.793058900000002,12.208128
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.00048828125,20,4.761499,4.7701934,4.785584500000001,4.805545550000001,4.811503
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0009765625,20,2.58734,2.5881817000000003,2.6019604999999997,2.61328845,2.613487
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.001953125,20,1.467222,1.47055745,1.484111,1.50231615,1.510679
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.00390625,20,0.869584,0.8760515999999999,0.91628,0.9232094,0.925269
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0078125,20,0.597528,0.60367165,0.647778,1.0269806000000004,1.468894
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.015625,20,0.436985,0.45145825,0.4788155,0.54059365,0.55744
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.03125,20,0.354182,0.35468645,0.362143,0.40346740000000003,0.455497
julia,tsit5,work_precision,fixed,fixed,32768,dt,0.0625,20,0.656475,0.65685405,0.6616265,0.6949968,0.719788
julia,vern7,performance,adaptive,julia,128,tol,1.0e-8,20,0.560671,0.5641347,0.6048755,1.0840432000000009,2.012311
julia,vern7,performance,adaptive,julia,131072,tol,1.0e-8,20,8.989676,8.99338575,9.027682500000001,9.06565275,9.091982
julia,vern7,performance,adaptive,julia,2048,tol,1.0e-8,20,0.655955,0.6646987999999999,0.705145,0.8385450500000006,1.661968
julia,vern7,performance,adaptive,julia,2097152,tol,1.0e-8,20,134.775041,144.95128805000002,155.728143,205.41227060000068,1119.459532
julia,vern7,performance,adaptive,julia,32,tol,1.0e-8,20,0.535233,0.53832905,0.5842015,1.4328835000000002,1.735088
julia,vern7,performance,adaptive,julia,32768,tol,1.0e-8,20,2.61547,2.62045845,2.635529,2.6666767,2.673226
julia,vern7,performance,adaptive,julia,33554432,tol,1.0e-8,20,2491.671189,2492.92604685,2506.422097,2523.07669205,2523.561155
julia,vern7,performance,adaptive,julia,512,tol,1.0e-8,20,0.607069,0.6096397,0.6472735000000001,1.6958348,1.77185
julia,vern7,performance,adaptive,julia,524288,tol,1.0e-8,20,34.422759,34.4240966,34.796512,39.5468518,39.801562
julia,vern7,performance,adaptive,julia,8,tol,1.0e-8,20,0.543881,0.5447901500000001,0.576682,0.59224485,0.61204
julia,vern7,performance,adaptive,julia,8192,tol,1.0e-8,20,0.928322,0.92953325,0.9731270000000001,0.9853212,0.990341
julia,vern7,performance,adaptive,julia,8388608,tol,1.0e-8,20,614.553788,615.05265675,616.3932055,620.64679705,621.618021
julia,vern7,performance,fixed,fixed,128,dt,0.0009765625,20,0.640763,0.6742524000000001,0.680887,1.3638838000000002,1.588365
julia,vern7,performance,fixed,fixed,131072,dt,0.0009765625,20,22.434673,22.4376883,22.566008500000002,22.69366235,22.748693
julia,vern7,performance,fixed,fixed,2048,dt,0.0009765625,20,0.705573,0.7100931,0.7363299999999999,0.8899387000000006,1.878256
julia,vern7,performance,fixed,fixed,2097152,dt,0.0009765625,20,344.706776,344.74765925,353.86625000000004,356.0734563,359.297249
julia,vern7,performance,fixed,fixed,32,dt,0.0009765625,20,0.628188,0.63554195,0.6747945,1.5468461000000002,1.771181
julia,vern7,performance,fixed,fixed,32768,dt,0.0009765625,20,7.153739,7.1582609999999995,7.2578119999999995,7.3466621000000005,7.422341
julia,vern7,performance,fixed,fixed,33554432,dt,0.0009765625,20,5737.948306,5739.67597695,5751.4644145,5765.83087725,5793.198216
julia,vern7,performance,fixed,fixed,512,dt,0.0009765625,20,0.66819,0.70513455,0.710594,1.3592919000000003,1.848749
julia,vern7,performance,fixed,fixed,524288,dt,0.0009765625,20,84.683842,84.73246585,84.955285,87.6673056,89.831455
julia,vern7,performance,fixed,fixed,8,dt,0.0009765625,20,0.626832,0.6309759,0.6625945,0.6744968,0.70248
julia,vern7,performance,fixed,fixed,8192,dt,0.0009765625,20,1.189972,1.1909657,1.243887,1.2861099,1.300054
julia,vern7,performance,fixed,fixed,8388608,dt,0.0009765625,20,1328.59719,1371.7753046500002,1406.1461305,1410.5826002000001,1411.349938
