traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
37,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16414089e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
38,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16469351e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
39,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16524584e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
40,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16579846e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
41,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16635107e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
42,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16690341e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
43,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16745602e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
44,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16800863e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
45,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16856125e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
46,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16911386e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
47,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.16966647e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
48,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17021909e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
49,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17077198e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
50,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17132459e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
51,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17187721e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
52,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1724301e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
53,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17298271e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
54,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1735356e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
55,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17408849e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
56,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17464111e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
57,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.175194e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
58,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17574689e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
59,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17629978e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
60,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17685267e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
61,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17740556e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
62,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17795845e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
63,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17851134e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
64,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.17906423e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
65,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1796174e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
66,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18017029e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
67,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18072318e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
68,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18127635e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
69,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18182924e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
70,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18238241e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
71,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18293558e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
72,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18348847e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
73,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18404164e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
74,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18459481e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
75,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18514798e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
76,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18570115e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
77,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18625432e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
78,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18680748e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
79,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18736093e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
80,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1879141e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
81,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18846727e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
82,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18902071e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
83,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.18957388e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
84,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19012733e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
85,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1906805e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
86,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19123394e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
87,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19178739e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
88,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19234056e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
89,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.192894e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
90,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19344745e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
91,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1940009e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
92,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19455434e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
93,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19510779e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
94,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19566151e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
95,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19621496e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
96,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19676841e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
97,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19732213e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
98,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19787558e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
99,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.1984293e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
100,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19898275e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
101,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.19953647e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
102,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20009019e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
103,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20064364e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
104,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20119736e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
105,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20175109e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
106,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20230481e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
107,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20285853e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
108,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20341226e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
109,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20396598e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
110,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20451998e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
111,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20507371e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
112,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20562743e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
113,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20618143e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
114,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20673516e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
115,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20728916e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
116,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20784288e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
117,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20839688e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
118,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20895088e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
119,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.20950488e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
120,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21005889e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
121,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21061289e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
122,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21116689e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
123,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21172089e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
124,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21227489e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
125,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21282889e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
126,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21338289e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
127,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21393717e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
128,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21449117e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
129,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21504545e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
130,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21559945e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
131,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21615373e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
132,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21670773e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
133,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21726201e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
134,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21781629e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
135,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21837057e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
136,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21892485e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
137,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.21947913e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
138,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22003341e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
139,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22058769e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
140,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22114196e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
141,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22169624e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
142,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.2222508e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
143,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22280508e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
144,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22335963e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
145,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22391391e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
146,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22446847e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
147,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22502275e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
148,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22557731e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
149,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22613186e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
150,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22668642e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
151,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22724097e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
152,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22779553e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
153,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22835009e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
154,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.22890464e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
155,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.2294592e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
156,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23001376e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
157,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23056831e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
158,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23112315e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
159,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.2316777e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
160,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23223254e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
161,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23278709e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
162,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23334193e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
163,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23389648e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
164,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23445132e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
165,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23500615e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
166,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23556099e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
167,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23611582e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
168,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23667065e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
169,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23722549e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
170,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23778032e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
171,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23833516e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
172,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23888999e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
173,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.2394451e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
174,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.23999994e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
175,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24055505e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
176,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24110988e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
177,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24166499e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
178,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24221983e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
179,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24277494e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
180,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24333005e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
181,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24388516e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
182,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24444027e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
183,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24499538e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
184,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.2455505e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
185,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24610561e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
186,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24666072e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
187,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24721583e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
188,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24777094e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
189,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24832633e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
190,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24888144e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
191,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24943683e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
192,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.24999194e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
193,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.25054733e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
194,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.25110244e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
195,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.25165783e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
196,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.25221322e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
197,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,3.25276861e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
