traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
14,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427819e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
15,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427875e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
16,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7042793e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
17,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70427986e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
18,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428041e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
19,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428097e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
20,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428152e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
21,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7042818e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
22,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428235e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
23,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428291e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
24,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428346e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
25,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428402e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
26,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428457e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
27,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428513e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
28,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428568e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
29,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428624e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
30,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428652e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
31,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428707e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
32,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428763e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
33,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428818e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
34,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428874e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
35,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428929e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
36,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70428985e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
37,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7042904e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
38,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429096e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
39,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429124e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
40,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429179e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
41,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429235e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
42,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7042929e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
43,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429346e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
44,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429401e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
45,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429457e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
46,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429512e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
47,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7042954e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
48,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429595e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
49,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429651e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
50,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429706e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
51,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429762e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
52,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429817e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
53,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429873e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
54,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429928e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
55,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70429984e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
56,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430012e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
57,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430067e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
58,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430123e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
59,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430178e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
60,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430234e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
61,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430289e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
62,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430345e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
63,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.704304e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
64,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430428e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
65,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430484e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
66,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430539e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
67,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430595e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
68,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043065e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
69,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430706e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
70,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430761e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
71,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430817e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
72,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430872e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
73,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.704309e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
74,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70430955e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
75,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431011e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
76,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431066e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
77,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431122e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
78,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431177e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
79,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431233e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
80,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431288e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
81,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431316e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
82,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431372e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
83,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431427e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
84,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431483e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
85,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431538e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
86,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431594e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
87,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431649e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
88,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431705e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
89,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043176e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
90,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431788e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
91,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431844e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
92,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431899e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
93,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70431955e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
94,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043201e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
95,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432066e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
96,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432121e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
97,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432177e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
98,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432204e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
99,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043226e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
100,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432315e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
101,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432371e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
102,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432426e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
103,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432482e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
104,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432537e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
105,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432593e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
106,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432648e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
107,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432676e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
108,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432732e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
109,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432787e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
110,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432843e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
111,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432898e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
112,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70432954e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
113,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433009e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
114,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433065e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
115,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043312e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
116,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433148e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
117,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433204e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
118,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433259e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
119,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433315e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
120,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043337e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
121,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433426e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
122,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433481e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
123,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433537e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
124,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433564e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
125,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043362e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
126,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433675e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
127,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433731e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
128,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433786e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
129,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433842e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
130,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433897e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
131,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70433953e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
132,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434009e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
133,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434036e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
134,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434092e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
135,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434147e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
136,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434203e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
137,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434258e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
138,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434314e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
139,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434369e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
140,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434425e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
141,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434453e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
142,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434508e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
143,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434564e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
144,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434619e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
145,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434675e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
146,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043473e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
147,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434786e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
148,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434841e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
149,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434897e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
150,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70434924e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
151,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043498e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
152,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435035e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
153,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435091e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
154,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435146e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
155,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435202e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
156,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435258e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
157,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435313e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
158,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435341e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
159,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435396e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
160,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435452e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
161,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435507e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
162,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435563e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
163,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435618e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
164,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435674e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
165,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435729e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
166,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435785e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
167,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435813e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
168,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435868e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
169,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435924e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
170,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70435979e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
171,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436035e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
172,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043609e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
173,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436146e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
174,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436201e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
175,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436257e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
176,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436284e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
177,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.7043634e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
178,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436395e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
179,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436451e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
180,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436507e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
181,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436562e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
182,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436618e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
183,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436673e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
184,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436701e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
185,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436756e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
186,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436812e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
187,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436867e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
188,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436923e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
189,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70436978e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
190,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437034e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
191,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437089e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
192,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437145e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
193,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437173e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
194,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437228e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
195,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437284e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
196,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437339e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
197,0,3.62385011,-2.5,-2.5,NaN,NaN,NaN,2.70437395e-10,NaN,NaN,NaN,7.55948221e-11,NaN,NaN
