algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_median_ms,julia_median_ms,julia_over_cubie_speedup
tsit5,performance,adaptive,pi,both,8192,tol,1e-08,0.7581704994663596,0.6782364999999999,0.8945698895926161
tsit5,performance,adaptive,pi,both,8388608,tol,1e-08,96.13196400096058,289.86681799999997,3.015301112511376
tsit5,performance,adaptive,pi,none,128,tol,1e-08,0.40611350050312467,0.3120245,0.7683184617439214
tsit5,performance,adaptive,pi,none,131072,tol,1e-08,1.2987080044695176,3.483586,2.6823473698561964
tsit5,performance,adaptive,pi,none,2048,tol,1e-08,0.40542650094721466,0.423126,1.0436564926353686
tsit5,performance,adaptive,pi,none,2097152,tol,1e-08,14.915945499524241,49.429432500000004,3.3138651855208647
tsit5,performance,adaptive,pi,none,32,tol,1e-08,0.43135650048498064,0.29405899999999996,0.6817075891272879
tsit5,performance,adaptive,pi,none,32768,tol,1e-08,0.6183259974932298,1.1635175,1.8817217854611388
tsit5,performance,adaptive,pi,none,33554432,tol,1e-08,228.29953749896958,755.0444219999999,3.307253401699983
tsit5,performance,adaptive,pi,none,512,tol,1e-08,0.4151044995523989,0.34174899999999997,0.8232842582253455
tsit5,performance,adaptive,pi,none,524288,tol,1e-08,4.018114999780664,12.6468885,3.147468029334738
tsit5,performance,adaptive,pi,none,8,tol,1e-08,0.42825800119317137,0.30378,0.7093387611057758
tsit5,performance,adaptive,pi,none,8192,tol,1e-08,0.43350449777790345,0.534975,1.2340702408907478
tsit5,performance,adaptive,pi,none,8388608,tol,1e-08,58.58182249721722,196.39721600000001,3.3525282694871668
tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,0.9063760007848032,0.4426005,0.48831886503698885
tsit5,performance,fixed,fixed,both,131072,dt,0.0009765625,7.418828499794472,10.547080999999999,1.4216639460384062
tsit5,performance,fixed,fixed,both,2048,dt,0.0009765625,0.9186809984385036,0.5093395000000001,0.5544247686255973
tsit5,performance,fixed,fixed,both,2097152,dt,0.0009765625,108.69304199877661,157.308401,1.4472720434282313
tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,0.9042659985425416,0.4940455,0.5463497475259294
tsit5,performance,fixed,fixed,both,32768,dt,0.0009765625,2.4006320018088445,2.628191,1.0947912874691719
tsit5,performance,fixed,fixed,both,33554432,dt,0.0009765625,1732.8044185014733,2499.3802370000003,1.4423902722740405
tsit5,performance,fixed,fixed,both,512,dt,0.0009765625,0.9047029961948283,0.4426775,0.4893069900971889
tsit5,performance,fixed,fixed,both,524288,dt,0.0009765625,27.67219950328581,41.162994999999995,1.487521618768045
tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,0.9090165003726725,0.49176,0.540980279014068
tsit5,performance,fixed,fixed,both,8192,dt,0.0009765625,1.0955650031974073,0.75114,0.6856188339421188
tsit5,performance,fixed,fixed,both,8388608,dt,0.0009765625,433.5796855011722,581.7810635,1.341808859950444
tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,0.607333000516519,0.4048015,0.6665231424205965
tsit5,performance,fixed,fixed,none,131072,dt,0.0009765625,6.658439502643887,8.9330065,1.3416066176546235
tsit5,performance,fixed,fixed,none,2048,dt,0.0009765625,0.6093470001360402,0.4303485,0.7062453739887491
tsit5,performance,fixed,fixed,none,2097152,dt,0.0009765625,99.20417450121022,133.9419725,1.3501646797974818
tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,0.6062870015739463,0.4465655,0.7365579318716999
tsit5,performance,fixed,fixed,none,32768,dt,0.0009765625,1.9949639972764999,2.3329579999999996,1.1694236102430544
tsit5,performance,fixed,fixed,none,33554432,dt,0.0009765625,1582.0582775013463,2125.1129975000003,1.3432583538302634
tsit5,performance,fixed,fixed,none,512,dt,0.0009765625,0.6067780013836455,0.4020225,0.6625528596673936
tsit5,performance,fixed,fixed,none,524288,dt,0.0009765625,25.176874496537494,35.221552,1.398964434796858
tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,0.6070284980523866,0.445419,0.7337695041157035
tsit5,performance,fixed,fixed,none,8192,dt,0.0009765625,0.7682169998588506,0.6585975,0.8573065945182263
tsit5,performance,fixed,fixed,none,8388608,dt,0.0009765625,395.9591810053098,531.6776305000001,1.3427586882822407
