algorithm,mode,cubie_tier,n,setting_kind,setting,mutual_rmse,mutual_p99_abs,mutual_max_abs,finite_pairs,failed_pairs
rosenbrock23_sciml,adaptive,pi,1024,tol,0.01,0.0031277621532699827,0.011625959082226831,0.017137531816405982,1024,0
rosenbrock23_sciml,adaptive,pi,1024,tol,0.001,0.0005446129036579154,0.0015805277964109441,0.002408501696777421,1024,0
rosenbrock23_sciml,adaptive,pi,1024,tol,0.0001,6.649304910048904e-05,0.00017146076613760994,0.00025746660156222845,1024,0
rosenbrock23_sciml,adaptive,pi,1024,tol,1e-05,6.306918496116535e-06,2.1912227050346897e-05,4.575393066375e-05,1024,0
rosenbrock23_sciml,adaptive,pi,1024,tol,1e-06,6.688049262426469e-06,2.400006296359612e-05,4.771057128927225e-05,1024,0
kvaerno3,fixed,fixed,1024,dt,0.015625,4.076145112137175e-05,0.0001306453775639227,0.00014877487793008015,1024,0
kvaerno3,fixed,fixed,1024,dt,0.0078125,1.2817456871371363e-05,4.8638466503660995e-05,6.196597900398615e-05,1024,0
kvaerno3,fixed,fixed,1024,dt,0.00390625,5.130287684946044e-06,1.8101786377524575e-05,3.342197265610025e-05,1024,0
kvaerno3,fixed,fixed,1024,dt,0.001953125,7.26063188122842e-06,2.481058093296795e-05,6.10277221682054e-05,1024,0
kvaerno3,fixed,fixed,1024,dt,0.0009765625,1.0547172846911145e-05,3.576395131850596e-05,8.205350341761175e-05,1024,0
kvaerno3,fixed,fixed,1024,dt,0.00048828125,1.4684545095355984e-05,5.103221775854314e-05,0.00010489461669926925,1024,0
kvaerno3,fixed,fixed,1024,dt,0.000244140625,1.9816111680765494e-05,7.054945544433977e-05,0.0001573302856439085,1024,0
kvaerno3,fixed,fixed,1024,dt,0.0001220703125,2.7259300829571527e-05,9.372222827119355e-05,0.00018887623290986255,1024,0
kvaerno3,adaptive,default,1024,tol,0.01,0.024890962566319445,0.07195472084497072,0.07624242979736273,1024,0
kvaerno3,adaptive,default,1024,tol,0.001,0.0019325790718583023,0.004902977433470958,0.005205155187988808,1024,0
kvaerno3,adaptive,default,1024,tol,0.0001,0.00018099058736670973,0.00046400378417954963,0.0005016598510749759,1024,0
kvaerno3,adaptive,default,1024,tol,1e-05,1.8119254782806913e-05,5.5254402991007314e-05,8.683156738342745e-05,1024,0
kvaerno3,adaptive,default,1024,tol,1e-06,1.0964786596473827e-05,3.7740377892885306e-05,9.444779052714125e-05,1024,0
kvaerno3,adaptive,pi,1024,tol,0.01,0.024890962566319445,0.07195472084497072,0.07624242979736273,1024,0
kvaerno3,adaptive,pi,1024,tol,0.001,0.0019325790718583023,0.004902977433470958,0.005205155187988808,1024,0
kvaerno3,adaptive,pi,1024,tol,0.0001,0.00018099058736670973,0.00046400378417954963,0.0005016598510749759,1024,0
kvaerno3,adaptive,pi,1024,tol,1e-05,1.8119254782806913e-05,5.5254402991007314e-05,8.683156738342745e-05,1024,0
kvaerno3,adaptive,pi,1024,tol,1e-06,1.0964786596473827e-05,3.7740377892885306e-05,9.444779052714125e-05,1024,0
kvaerno5,fixed,fixed,1024,dt,0.03125,6.696506616147133e-06,2.4773751098230434e-05,3.0507653809408453e-05,1024,0
kvaerno5,fixed,fixed,1024,dt,0.015625,3.828493733415827e-06,1.3656649908426735e-05,2.95934448235613e-05,1024,0
kvaerno5,fixed,fixed,1024,dt,0.0078125,4.65047789924165e-06,1.62099657592929e-05,3.43071044923704e-05,1024,0
kvaerno5,fixed,fixed,1024,dt,0.00390625,6.367187816733436e-06,2.1937504479989653e-05,3.91298217774505e-05,1024,0
kvaerno5,fixed,fixed,1024,dt,0.001953125,8.681697625942476e-06,2.978618798978981e-05,6.48595458976331e-05,1024,0
kvaerno5,fixed,fixed,1024,dt,0.0009765625,1.1866975552271795e-05,4.06674022578901e-05,6.770972778280537e-05,1024,0
kvaerno5,fixed,fixed,1024,dt,0.00048828125,1.7028059313987146e-05,6.0322749243013554e-05,0.00010585838623100585,1024,0
kvaerno5,fixed,fixed,1024,dt,0.000244140625,2.3079321535776662e-05,7.780472810058552e-05,0.0001993036010734528,1024,0
kvaerno5,fixed,fixed,1024,dt,0.0001220703125,3.660230880506569e-05,0.0001271073589110738,0.000305184240723122,1024,0
kvaerno5,adaptive,default,1024,tol,0.01,0.021172544083656483,0.05348502239672798,0.0581312466186521,1024,0
kvaerno5,adaptive,default,1024,tol,0.001,0.008536147509337538,0.02551136664440861,0.027469610388184407,1024,0
kvaerno5,adaptive,default,1024,tol,0.0001,0.001356232369017086,0.0039673349748534465,0.004355471398925559,1024,0
kvaerno5,adaptive,default,1024,tol,1e-05,0.0001724971031456324,0.0005075344782709299,0.0005550089843744388,1024,0
kvaerno5,adaptive,default,1024,tol,1e-06,2.34178702605358e-05,6.199220666502469e-05,0.0001325125488289558,1024,0
kvaerno5,adaptive,pi,1024,tol,0.01,0.021172544083656483,0.05348502239672798,0.0581312466186521,1024,0
kvaerno5,adaptive,pi,1024,tol,0.001,0.008536147509337538,0.02551136664440861,0.027469610388184407,1024,0
kvaerno5,adaptive,pi,1024,tol,0.0001,0.001356232369017086,0.0039673349748534465,0.004355471398925559,1024,0
kvaerno5,adaptive,pi,1024,tol,1e-05,0.0001724971031456324,0.0005075344782709299,0.0005550089843744388,1024,0
kvaerno5,adaptive,pi,1024,tol,1e-06,2.34178702605358e-05,6.199220666502469e-05,0.0001325125488289558,1024,0
