traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
79,1.40129846e-45,7.45857477e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,1.40129846e-45,7.45883661e-13,0.00100000005,0,0,0,0,0
81,0,0,0,1.40129846e-45,7.4589678e-13,0.00100000005,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.45922963e-13,0.00100000005,0,0
83,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
84,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4596232e-13
85,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
86,0,1.40129846e-45,7.46001622e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,1.40129846e-45,7.46027806e-13,0.00100000005,0,0,0,0
88,0,0,0,0,1.40129846e-45,7.46040924e-13,0.00100000005,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46067162e-13,0.00100000005,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,7.46106464e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
92,0,0,0,0,0,0,0,7.46132702e-13,0.00100000005,0,0,0,0,0,0
93,0,0,1.40129846e-45,7.46145767e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46172004e-13,0.00100000005,0,0,0
95,0,0,0,0,0,1.40129846e-45,7.46185123e-13,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46211307e-13,0.00100000005
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1.40129846e-45,7.46250663e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,1.40129846e-45,7.46276847e-13,0.00100000005,0,0,0,0,0
100,0,0,0,1.40129846e-45,7.46289966e-13,0.00100000005,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46316203e-13,0.00100000005,0,0
102,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
103,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4635556e-13
104,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
105,0,1.40129846e-45,7.46394862e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,1.40129846e-45,7.464211e-13,0.00100000005,0,0,0,0
107,0,0,0,0,1.40129846e-45,7.46434219e-13,0.00100000005,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46460456e-13,0.00100000005,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7.46499759e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
111,0,0,0,0,0,0,0,7.46525996e-13,0.00100000005,0,0,0,0,0,0
112,0,0,1.40129846e-45,7.46539115e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46565353e-13,0.00100000005,0,0,0
114,0,0,0,0,0,1.40129846e-45,7.46578472e-13,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46604709e-13,0.00100000005
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1.40129846e-45,7.46644066e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,1.40129846e-45,7.46670304e-13,0.00100000005,0,0,0,0,0
119,0,0,0,1.40129846e-45,7.46683423e-13,0.00100000005,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46709606e-13,0.00100000005,0,0
121,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
122,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46748963e-13
123,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
124,0,1.40129846e-45,7.46788319e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,1.40129846e-45,7.46814557e-13,0.00100000005,0,0,0,0
126,0,0,0,0,1.40129846e-45,7.46827676e-13,0.00100000005,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46853968e-13,0.00100000005,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,7.46893324e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
130,0,0,0,0,0,0,0,7.46919562e-13,0.00100000005,0,0,0,0,0,0
131,0,0,1.40129846e-45,7.46932681e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46958918e-13,0.00100000005,0,0,0
133,0,0,0,0,0,1.40129846e-45,7.46972037e-13,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.46998275e-13,0.00100000005
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1.40129846e-45,7.47037631e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,1.40129846e-45,7.47063869e-13,0.00100000005,0,0,0,0,0
138,0,0,0,1.40129846e-45,7.47077042e-13,0.00100000005,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4710328e-13,0.00100000005,0,0
140,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
141,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47142636e-13
142,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
143,0,1.40129846e-45,7.47181993e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,1.40129846e-45,7.47208285e-13,0.00100000005,0,0,0,0
145,0,0,0,0,1.40129846e-45,7.47221404e-13,0.00100000005,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47247641e-13,0.00100000005,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,7.47287052e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
149,0,0,0,0,0,0,0,7.4731329e-13,0.00100000005,0,0,0,0,0,0
150,0,0,1.40129846e-45,7.47326409e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47352701e-13,0.00100000005,0,0,0
152,0,0,0,0,0,1.40129846e-45,7.47365819e-13,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47392057e-13,0.00100000005
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1.40129846e-45,7.47431468e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,1.40129846e-45,7.47457706e-13,0.00100000005,0,0,0,0,0
157,0,0,0,1.40129846e-45,7.47470824e-13,0.00100000005,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47497116e-13,0.00100000005,0,0
159,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
160,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47536527e-13
161,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
162,0,1.40129846e-45,7.47575884e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,1.40129846e-45,7.47602175e-13,0.00100000005,0,0,0,0
164,0,0,0,0,1.40129846e-45,7.47615294e-13,0.00100000005,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47641586e-13,0.00100000005,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,7.47680997e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
168,0,0,0,0,0,0,0,7.47707235e-13,0.00100000005,0,0,0,0,0,0
169,0,0,1.40129846e-45,7.47720354e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47746645e-13,0.00100000005,0,0,0
171,0,0,0,0,0,1.40129846e-45,7.47759764e-13,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.47786056e-13,0.00100000005
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1.40129846e-45,7.47825467e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,1.40129846e-45,7.47851759e-13,0.00100000005,0,0,0,0,0
176,0,0,0,1.40129846e-45,7.47864878e-13,0.00100000005,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4789117e-13,0.00100000005,0,0
178,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
179,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4793058e-13
180,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
181,0,1.40129846e-45,7.47969991e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,1.40129846e-45,7.47996283e-13,0.00100000005,0,0,0,0
183,0,0,0,0,1.40129846e-45,7.48009402e-13,0.00100000005,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48035694e-13,0.00100000005,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,7.48075104e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
187,0,0,0,0,0,0,0,7.48101396e-13,0.00100000005,0,0,0,0,0,0
188,0,0,1.40129846e-45,7.48114569e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48140807e-13,0.00100000005,0,0,0
190,0,0,0,0,0,1.40129846e-45,7.4815398e-13,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48180272e-13,0.00100000005
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1.40129846e-45,7.48219683e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,1.40129846e-45,7.48245975e-13,0.00100000005,0,0,0,0,0
195,0,0,0,1.40129846e-45,7.48259148e-13,0.00100000005,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4828544e-13,0.00100000005,0,0
197,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
198,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4832485e-13
199,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
200,0,1.40129846e-45,7.48364315e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,1.40129846e-45,7.48390607e-13,0.00100000005,0,0,0,0
202,0,0,0,0,1.40129846e-45,7.48403726e-13,0.00100000005,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48430018e-13,0.00100000005,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,7.48469483e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
206,0,0,0,0,0,0,0,7.48495775e-13,0.00100000005,0,0,0,0,0,0
207,0,0,1.40129846e-45,7.48508948e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.4853524e-13,0.00100000005,0,0,0
209,0,0,0,0,0,1.40129846e-45,7.48548359e-13,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48574651e-13,0.00100000005
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,1.40129846e-45,7.48614116e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,1.40129846e-45,7.48640407e-13,0.00100000005,0,0,0,0,0
214,0,0,0,1.40129846e-45,7.48653581e-13,0.00100000005,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48679872e-13,0.00100000005,0,0
216,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
217,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48719337e-13
218,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
219,0,1.40129846e-45,7.48758802e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,1.40129846e-45,7.48785094e-13,0.00100000005,0,0,0,0
221,0,0,0,0,1.40129846e-45,7.48798267e-13,0.00100000005,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48824559e-13,0.00100000005,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,7.48864024e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
225,0,0,0,0,0,0,0,7.4889037e-13,0.00100000005,0,0,0,0,0,0
226,0,0,1.40129846e-45,7.48903489e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.48929835e-13,0.00100000005,0,0,0
228,0,0,0,0,0,1.40129846e-45,7.48942954e-13,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.489693e-13,0.00100000005
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1.40129846e-45,7.49008765e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,1.40129846e-45,7.49035057e-13,0.00100000005,0,0,0,0,0
233,0,0,0,1.40129846e-45,7.4904823e-13,0.00100000005,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49074576e-13,0.00100000005,0,0
235,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
236,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49114041e-13
237,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
238,0,1.40129846e-45,7.49153506e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,1.40129846e-45,7.49179852e-13,0.00100000005,0,0,0,0
240,0,0,0,0,1.40129846e-45,7.49193025e-13,0.00100000005,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49219317e-13,0.00100000005,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,7.49258836e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
244,0,0,0,0,0,0,0,7.49285128e-13,0.00100000005,0,0,0,0,0,0
245,0,0,1.40129846e-45,7.49298301e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49324647e-13,0.00100000005,0,0,0
247,0,0,0,0,0,1.40129846e-45,7.49337766e-13,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49364112e-13,0.00100000005
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1.40129846e-45,7.49403632e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,1.40129846e-45,7.49429924e-13,0.00100000005,0,0,0,0,0
252,0,0,0,1.40129846e-45,7.49443097e-13,0.00100000005,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49469443e-13,0.00100000005,0,0
254,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
255,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49508962e-13
256,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
257,0,1.40129846e-45,7.49548427e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,1.40129846e-45,7.49574773e-13,0.00100000005,0,0,0,0
259,0,0,0,0,1.40129846e-45,7.49587946e-13,0.00100000005,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49614292e-13,0.00100000005,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,7.49653811e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
263,0,0,0,0,0,0,0,7.49680103e-13,0.00100000005,0,0,0,0,0,0
264,0,0,1.40129846e-45,7.49693276e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49719622e-13,0.00100000005,0,0,0
266,0,0,0,0,0,1.40129846e-45,7.49732795e-13,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49759141e-13,0.00100000005
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,1.40129846e-45,7.49798661e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,1.40129846e-45,7.49825007e-13,0.00100000005,0,0,0,0,0
271,0,0,0,1.40129846e-45,7.4983818e-13,0.00100000005,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49864526e-13,0.00100000005,0,0
273,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
274,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.49904045e-13
275,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
276,0,1.40129846e-45,7.49943564e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,1.40129846e-45,7.4996991e-13,0.00100000005,0,0,0,0
278,0,0,0,0,1.40129846e-45,7.49983083e-13,0.00100000005,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.5000943e-13,0.00100000005,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,7.50049003e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45
282,0,0,0,0,0,0,0,7.50075349e-13,0.00100000005,0,0,0,0,0,0
283,0,0,1.40129846e-45,7.50088522e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.50114868e-13,0.00100000005,0,0,0
285,0,0,0,0,0,1.40129846e-45,7.50128041e-13,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.50154387e-13,0.00100000005
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,1.40129846e-45,7.50193907e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,1.40129846e-45,7.50220307e-13,0.00100000005,0,0,0,0,0
290,0,0,0,1.40129846e-45,7.5023348e-13,0.00100000005,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.50259826e-13,0.00100000005,0,0
292,0,0,0,0,0,0,1.40129846e-45,0,0,0,0,0,0,0,0
293,0.00100000005,0,0,0,0,0,0,0,0,0,0,0,0,1.40129846e-45,7.50299345e-13
294,0,0,0,0,0,0,0,0.00100000005,0,0,0,0,0,0,0
295,0,1.40129846e-45,7.50338919e-13,0.00100000005,0,0,0,0,0,0,0,0,0,0,0
