framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8,dt,0.0009765625,0,2.416632
julia,rosenbrock23_sciml,performance,fixed,fixed,none,8,dt,0.0009765625,0,1.22969
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8,dt,0.0009765625,1,2.420069
julia,rosenbrock23_sciml,performance,fixed,fixed,none,8,dt,0.0009765625,1,1.431534
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8,tol,1.0e-8,0,3.247979
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8,tol,1.0e-8,0,3.167383
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8,tol,1.0e-8,1,3.21771
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8,tol,1.0e-8,1,3.16407
julia,rosenbrock23_sciml,performance,fixed,fixed,both,32,dt,0.0009765625,0,1.166315
julia,rosenbrock23_sciml,performance,fixed,fixed,none,32,dt,0.0009765625,0,1.091161
julia,rosenbrock23_sciml,performance,fixed,fixed,both,32,dt,0.0009765625,1,1.246332
julia,rosenbrock23_sciml,performance,fixed,fixed,none,32,dt,0.0009765625,1,1.119029
julia,rosenbrock23_sciml,performance,adaptive,julia,both,32,tol,1.0e-8,0,4.613381
julia,rosenbrock23_sciml,performance,adaptive,julia,none,32,tol,1.0e-8,0,3.975688
julia,rosenbrock23_sciml,performance,adaptive,julia,both,32,tol,1.0e-8,1,3.549954
julia,rosenbrock23_sciml,performance,adaptive,julia,none,32,tol,1.0e-8,1,3.188559
julia,kvaerno3,performance,fixed,fixed,both,8,dt,0.0009765625,0,4.451017
julia,kvaerno3,performance,fixed,fixed,none,8,dt,0.0009765625,0,3.773011
julia,kvaerno3,performance,fixed,fixed,both,8,dt,0.0009765625,1,3.323414
julia,kvaerno3,performance,fixed,fixed,none,8,dt,0.0009765625,1,2.972933
julia,kvaerno3,performance,adaptive,julia,both,8,tol,1.0e-8,0,8.026204
julia,kvaerno3,performance,adaptive,julia,none,8,tol,1.0e-8,0,7.971632
julia,kvaerno3,performance,adaptive,julia,both,8,tol,1.0e-8,1,8.028715
julia,kvaerno3,performance,adaptive,julia,none,8,tol,1.0e-8,1,9.630095
julia,kvaerno3,performance,fixed,fixed,both,32,dt,0.0009765625,0,3.281943
julia,kvaerno3,performance,fixed,fixed,none,32,dt,0.0009765625,0,2.904916
julia,kvaerno3,performance,fixed,fixed,both,32,dt,0.0009765625,1,2.965326
julia,kvaerno3,performance,fixed,fixed,none,32,dt,0.0009765625,1,2.931508
julia,kvaerno3,performance,adaptive,julia,both,32,tol,1.0e-8,0,8.280036
julia,kvaerno3,performance,adaptive,julia,none,32,tol,1.0e-8,0,8.225892
julia,kvaerno3,performance,adaptive,julia,both,32,tol,1.0e-8,1,8.28109
julia,kvaerno3,performance,adaptive,julia,none,32,tol,1.0e-8,1,8.224229
julia,kvaerno5,performance,fixed,fixed,both,8,dt,0.0009765625,0,5.970992
julia,kvaerno5,performance,fixed,fixed,none,8,dt,0.0009765625,0,5.89407
julia,kvaerno5,performance,fixed,fixed,both,8,dt,0.0009765625,1,5.943768
julia,kvaerno5,performance,fixed,fixed,none,8,dt,0.0009765625,1,5.891956
julia,kvaerno5,performance,adaptive,julia,both,8,tol,1.0e-8,0,0.934678
julia,kvaerno5,performance,adaptive,julia,none,8,tol,1.0e-8,0,0.834924
julia,kvaerno5,performance,adaptive,julia,both,8,tol,1.0e-8,1,0.892094
julia,kvaerno5,performance,adaptive,julia,none,8,tol,1.0e-8,1,0.838949
julia,kvaerno5,performance,fixed,fixed,both,32,dt,0.0009765625,0,5.988754
julia,kvaerno5,performance,fixed,fixed,none,32,dt,0.0009765625,0,5.961831
julia,kvaerno5,performance,fixed,fixed,both,32,dt,0.0009765625,1,5.984799
julia,kvaerno5,performance,fixed,fixed,none,32,dt,0.0009765625,1,5.942092
julia,kvaerno5,performance,adaptive,julia,both,32,tol,1.0e-8,0,0.876421
julia,kvaerno5,performance,adaptive,julia,none,32,tol,1.0e-8,0,0.832784
julia,kvaerno5,performance,adaptive,julia,both,32,tol,1.0e-8,1,0.879676
julia,kvaerno5,performance,adaptive,julia,none,32,tol,1.0e-8,1,0.835519
